 Quarterly Monetary Aggregates (₦' Billion),,,,,,,,,,,,,,
Period,NFA,NCG,CPS,CCP,CSLG,RM,M1,QM,M2,CBS,M3,PSDD,Reserves,CIC
Q3, 34.98 , 201.98 , 144.98 , 139.16 , 2.03 , 139.38 , 142.78 , 100.02 , 242.80 , 0.00 , 0.00 , 74.59 , 54.76 , 72.20 
Q4, 56.22 , 288.11 , 151.00 , 145.10 , 2.24 , 151.74 , 169.39 , 97.55 , 266.94 , 0.00 , 0.00 , 78.79 , 42.13 , 96.17 
1995,,,,,,,,,,,,,,
Q1, 105.30 , 183.78 , 147.07 , 141.10 , 2.32 , 146.91 , 158.15 , 96.37 , 254.52 , 0.00 , 0.00 , 71.79 , 49.77 , 91.12 
Q2, 121.27 , 175.10 , 180.26 , 173.07 , 2.55 , 167.29 , 177.10 , 113.57 , 290.67 , 0.00 , 0.00 , 89.65 , 59.39 , 93.62 
Q3, 110.98 , 167.32 , 193.48 , 187.51 , 2.37 , 186.99 , 180.97 , 120.95 , 301.91 , 0.00 , 0.00 , 91.50 , 81.33 , 95.29 
Q4, 108.66 , 263.00 , 211.36 , 204.95 , 2.93 , 182.80 , 201.41 , 117.35 , 318.76 , 0.00 , 0.00 , 94.57 , 53.75 , 113.94 
1996,,,,,,,,,,,,,,
Q1, 119.13 , 180.25 , 217.96 , 212.32 , 2.11 , 178.13 , 203.31 , 125.40 , 328.71 , 0.00 , 0.00 , 102.21 , 59.09 , 106.94 
Q2, 122.22 , 216.42 , 234.84 , 228.86 , 4.65 , 185.88 , 213.25 , 140.76 , 354.01 , 0.00 , 0.00 , 111.75 , 62.48 , 108.28 
Q3, 131.93 , 179.42 , 251.98 , 247.15 , 3.19 , 180.28 , 209.31 , 142.60 , 351.91 , 0.00 , 0.00 , 105.75 , 55.72 , 110.77 
Q4, 237.98 , 110.47 , 260.61 , 255.56 , 3.53 , 193.95 , 227.46 , 142.87 , 370.33 , 0.00 , 0.00 , 111.34 , 52.47 , 126.04 
1997,,,,,,,,,,,,,,
